author,comment,replied_to
@duy.thaianh,viiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiiieeeeeeeeeeeeeeeeeeeeeeetttnnnaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaama,
@SR-pr2xz,It will never be investible as long as communist are in control,
@hduc5052,Yeah sure. Then save your mom's money at home for games then😂,@SR-pr2xz
@Kinhnamese,Vietnam only provides slave labors like China's past and present.,
@ThanhNguyen-dd7bw,Lành thay <3,
@heythereofficial.,.,
@LawrenceNador,❤❤❤❤❤❤❤❤,
@user-lf3hh1wv9vc,It’s a giant bubble waiting to bust. You just wait and see.,
@Truck_Kun_Driver,"Short answer: no
Long answer: no, as long as the current regime is still living.",
@hduc5052,Yeah sure. Stay mad kid,@Truck_Kun_Driver
@Truck_Kun_Driver,"@hduc5052  our country is leading to a dark path and you can keep celebrating some football matches wins, no need to pay attention to anything.",@Truck_Kun_Driver
@hduc5052,"@@Truck_Kun_Driver Heard same ""dArK PaTh"" sh1t like 10 years ago. Yeah sure. Keep staying mad.",@Truck_Kun_Driver
@kimbui340,Let’s goooooo I’m Vietnamese,
@Sweet0010,Vietnam never has a 1 child policy. It’s 2 childs policy. 1 child policy is in China.,
@Huajierenmeiluziye,"Many of China's problems have been overlooked in an environment of rapid economic growth. The problem in China now is that no one wants to get married, even though they have already liberalized fertility。
People watching Chinese romantic dramas often envy China's family values, but for the Chinese, the Chinese are tired of marriage being held hostage by money",@Sweet0010
@TheByard,"Vietnam is expanding quickly with new roads, a second airport is being built outside Saigon and a new container port opened on the Saigon river nearer the sea last week. Industrial areas are expanding and with that local housing projects keep a work force busy. The Vin group are expanding into those areas with supermarkets. The car division has started EV taxi fleets firstly in city's but now expanding.
There is also medical tourism as new hospitals come on line with the latest equipment, Vietnamese have easy access to these facility's that are covered by Government and insurance based schemes. The UK has a 2 week waiting list just to see a GP doctor, where as I wait 20 mins max.
As you say the Boat People are returning and bringing new skills, money and ideas. English is being taught in schools, so more english is being spoken on the streets. In ten years this will enhance trade and commerce.",
@小熊维尼习近平-CCP,"Wrong! Vietnamese life expectancy rises to 76 years old is not 100% due to better living standards, but due to the fact that the WAR was over. Their life expectancy is based on their foods which is well known as very healthy, cheap and delicious, and daily excercise since most of them refer to work and do household choirs themselves.",
@China传奇捕猴人,越南不是独立国家，只是中国的叛乱省，待中国重新富强会收复，日月星辰所及之地皆为汉土,
@VinhNguyen-pc6gx,Liar I don’t  believe everything about VN,
@hduc5052,Stupid,@VinhNguyen-pc6gx
@HanhNguyen-rl1xo,Ngu ngục! Đăng ký học bổ túc liền,@VinhNguyen-pc6gx
@leduong2342,im Vietnamese,
@alooooooola,Please include our islands in the map. You are disrespectful to the country you make video about,
@heloo237,Việt Nam không cần phải là quốc gia giàu có nhất. Thứ tôi mong muốn nhất là VN có thể giữ được sự cân bằng giữa phát triển kinh tế và an ninh xã hội. Chỉ cần còn phát triển thì Việt Nam sẽ là một nơi đáng để sống và an toàn tuyệt đối cho người dân và du khách🇻🇳,
@folag,Horse feathers. Many of the industries establishing plants in Vietnam are Chinese companies needing to sidestep US tariffs.,
@grownwithme9330,"If America,France, Korea, Japan.... didnt invaded Viet Nam
They will be even rich as America now",
@SilverScarletSpider,Vietnam 🇻🇳 has strong allies with Japan 🇯🇵 South Korea 🇰🇷. Mexico 🇲🇽 Brazil 🇧🇷 Indonesia 🇮🇩 need to rise like Vietnam,
@lamnguyen-uj6lh,Wish the best for Vietnam 😍,
@damianmoodley594,Vietnam medium age is 33 not 26,
@MrFolan1982,GOOOOOOOD MORNING VIETNAM 🎉,
@whenyourerightyoureright,Infinate growth is cancerous and asinine. Vietnam recignizes this. Most of the rest of the world just has 0 chill.,
@harrysoothsayer5086,They all have their moment in the sun until the wages become unsustainable,
@defpikaleon2063,Still poor,
@luantran3747,"every few years that I come back to Vietnam, it's almost incomparable to 4 years back. Except for those yellow jacket police guys, always the same",
@WatsonRowena,"I feel thankful for your video, but your theme, which has a VietNamese map, do not have Hoàng Sa, Trường Sa",
@lunguyen7380,Vietnam was attacked by a gang from 1975 - 1995 . Enemy countries become economic partners .,
@kroaiITP.00,"Is the image of ""boat people"" just what foreigners saw of us years ago, refugees escaping hardship? No, those are just people who were deceived by the government of the Republic of Vietnam. They thought that the northern army would slaughter them mercilessly, but in reality, 1975 was when Vietnam was liberated, that was when the difficulties ended. April 30, 1975, we call it ""Southern Liberation Day"" the day all Vietnamese people have been waiting for, the whole country fought heroically and heroically.Thank you very much for your interest in us😊😊😊",
@vancouvertravels,Nice. Thanks for sharing,
@DacLam-p5v,"---

In Southeast Asia, the countries that are not worth paying attention to:

Myanmar: the vast separation between Southeast Asia and South Asia (the dirtiest, most decayed region in the world).

Philippines: not a purely East Asian country but a mix of cultures, lifestyles, and languages from different continents.

Cambodia: essentially a flawed version of Southern Vietnam, with dark skin and small stature, very inferior, and will forever remain behind Vietnam.

Indonesia: a large Islamic country with a closed-off lifestyle, located right on the equator, with very dark skin and unappealing appearance.

Brunei and East Timor: too small and insignificant to even be mentioned, easily forgotten.



---",
@kobe.4363,Hahahaha lol. 🇸🇬🇲🇾🇻🇳🇹🇭❤️,@DacLam-p5v
@hiphopisdead,I highly doubt they're going to make any progress.. if anything it will be the PH and Malaysia that come out on top of this global shift from China.,
@POD-Ed,I visit Vietnam in 2024 and super super amazing. Everything is good very good 2:35,
@Doyouknowgeography,*I am optimistic about Vietnam.🇻🇳  I am sure it will become rich country. Love from India.🇮🇳*  ,
@brucelee5576,These days when you say Vietnam ppl think about lunch.,
@Phatphan183,hey bro in 3.00 you forgot HOANG SA and TRUONG SA island,
@WealthyChronicle,"Vietnam’s potential to become a rich nation by 2045 sounds amazing, but with the aging population and rising labor costs, is it too optimistic? I’m not so sure.",
@xiaolanmei511,"it is a really good research, thanks",
@abcdefkkk123aa,"Kênh nhãm nhí, cái gì là nhân quyền của phương tây? Chúng tôi người dân vn có đủ quyền tiếng nói của mình. Phương tây luôn xuyên tạc mọi thứ, chúng tôi chán ngấy với nhân quyền của các người.",
@rawword,"That's funny, Vietnam is a socialist/Communist nation and so many people are happy😂😅😊and don't get me wrong, I support growth no matter what political ideology a nation has. Unfortunately the west doesn't. L😂😅😊",
@appleenglish4227,I am a Vietnamese watching this video makes me so happy😊,
@TramNgoc-yl7cg,Thanks for making this quality video. I'm Vietnamese and thanks to this video I have new perspectives,
@gentadashi,"One correction. Vietnam never had, much less enforced, a literal one-child policy. The policy was two children per household, and only party members and government workers got any enforcement. The populace was only encouraged to follow the policy, and most did, partly because juggling two children with both parents working is exhausting enough already, but the policy itself was never enforced per se.",
@hawaiianlife7201,"Downside-Under developed national highway and domestic auto industry. Scooter traffic slows everything down and pollutes. Upside- exporting easy, motivated workforce (mostly female), young workforce, safe environment.",
@Phunggiaochu,The map in 2:53 lacks two archipelagoes : Hoàng Sa and Trường Sa. They are both belong to Vietnam,
@user-gp9mk7wm1s,Communist Vietnam 🇻🇳👍,
@박혜란-s6s,Hochimin fascism,@user-gp9mk7wm1s
@khoagg5113,Mày thì biết con cực gì mà làm video về VzN,
@Wabuh-Wabuh,"Vietnam has to many useless shop owners selling gimmicky shit who sit on the street all day doing jack shit. They need to focus on development, infrastructure, education, & organization.

They are selling end game products like teddy bears & luxury items when they should be building infrastructure & focus on producing construction workers not shop owners who do jack shit.

& they need to focus on qaulity...they keep hiring people who dont care trying to swindle a dollar...hire people with integrity....

vietnam needs to cut all the bullshit gimmicky investments & focus on essentials.

they are a country of people where a monopoly would work selling raw goods.  (grocery, raw materials, etc)

they need to get ridd of all the clutter its constricting being their & dumb foriegners encourage the behaviour because they are pathetic and only like feeling ""included & accepted"". they are really stupid people...",
@amongus8273,I mean vietnam economy is better than the past but rich ? Nah,
@stanlee4765,"I believe Vietnam is the best place for Western businesses to invest in the South East Asean region. The government is stable (the people actually love their government!), labour is dirt cheap and the workforce is dedicated. More Western businesses should consider coming here  Chinese businesses have been here for a very long time! I am an Australian living here and I have nothing but respect for the Vietnamese people.",
@moviesstarpro3131,phát triển giàu lên nhanh quá,
@chautiendung,No bc VN is commie states. Absolute power absolute corruption. No commie is rich in human history.😂,
@nguyenauthor2501,very insightful! Thank you!,
@LệKim-j8b,Hoàng Sa Trường Sa là của Việt Nam,
@trankieu2554,Vietnam's remarkable transformation is inspiring! Excited to see how it continues to grow!,
@TấtHuỳnhVăn-i7h,"Người việt nam hay nổi loạn, nổi loạn không kỷ luật đời sống",
@TấtHuỳnhVăn-i7h,"Thiên chúa dạy , chỉ cần việt nam tuân thủ luật pháp, và đạo đức . Sống công bình thì sẽ thành công",
@TấtHuỳnhVăn-i7h,Nhưng người việt nam đang chọn con đường thất bại,
@TấtHuỳnhVăn-i7h,Thiên chúa muốn người việt nam không phải là kẻ thất bại,
@TấtHuỳnhVăn-i7h,Chính phủ Mỹ muốn người việt nam nỗ lực tạo ra sản phẩm giúp loài người phát triển,
@TấtHuỳnhVăn-i7h,"Tin chính phủ Mỹ thì người việt nam không phụ thuộc, không tin chính phủ Mỹ. Thì việt nam sẽ phụ thuộc rất nhiều",
@TấtHuỳnhVăn-i7h,"Chính phủ Mỹ không muốn người việt nam phụ thuộc các nước như Singapore hay hongkong hay đài loan, hoặc nhật bản",
@TấtHuỳnhVăn-i7h,Không phụ thuộc thì người việt nam quản lý doanh nghiệp của người nước ngoài,
@TấtHuỳnhVăn-i7h,Phụ thuộc thì người việt nam đi làm thuê,
@TấtHuỳnhVăn-i7h,Phụ thuộc hay không là do người việt nam chọn lựa,
@TấtHuỳnhVăn-i7h,"Phụ thuộc hay không, không quan trọng",
@thuyybiii,"""Anti-American Resistance War"", not VN war !",
@poopkljok8342,"Japan's core industries include machinery, automobiles, optics, materials... South Korea has communications, shipbuilding, chemicals, entertainment... Taiwan has chips, electronics...
But Vietnam does not have its own core industries. It is just a low-labor-cost assembly base for foreign capital.

Vietnam must develop its own core industries before foreign capital moves factories to other countries with lower labor costs. Before that, Vietnam's economy is like building its own house on someone else's foundation, which is not safe.",
@user-ik8wd9vm7r,"Some Vietnamese people and mainly from the big cities are increasingly becoming arrogant, hotel owners, landlords and other businesses owners treat locals and visitors badly. Despite Vietnamese people having traditions and being friendly this attitude is already being noticed by foreigners.  Vietnam is full of rubbish everywhere, private properties built in national parks, landlords charging a premium for rent despite the falling real estate market, scammers, and overall unreasonable people will not go well with any Vietnamese estimated grow.",
@a_lot-of_pp,"saying SOEs are “inefficient” and “not competitive with private businesses” misses the entire point of SOEs. entirely unserious channel, retards",
@HiddenWildsX,bản đồ bao gồm quần đảo Trường Sa và Hoàng  Sa  đâu,
@duongluyen1112,Việt Nam - quê hương tôi sinh ra và lớn lêm🇻🇳,
@phucquyenha233,"The video contains analysis but includes a lot of subjective opinions and inaccurate information. However, it’s okay as there are still many opinions that can be useful.",
@TaoSamrong,Thank you for recommending Sarah Jennine Davis on one of your videos. I reached out to her and :nvesting with her has been amazing.,
@anilhettiarachci8467,"Wow, congratulations on your impressive investment success!  Your discipline and focus on delayed gratification is truly inspiring.  I'm curious, what are some of the key factors that you consider when making investment decisions?  Do you have any tips for those of us who are just starting to dip our toes into the world of investing?  Thanks for sharing your story!",@TaoSamrong
@TaoSamrong,​@FreyaFreya3She's Sarah Jennine Davis,@TaoSamrong
@TaoSamrong,+156,@TaoSamrong
@TaoSamrong,1759,@TaoSamrong
@TaoSamrong,4519,@TaoSamrong
@chesshi8211,"The foreigners who want to live in Vietnam won't like this, as the Vietnamese currency's  (VND) value rises, they will face disadvantages and can't enjoy high income low spending much more.",
@GoPro239,"Absolutely, Vietnam 🇻🇳 is on a promising path to prosperity! With rapid economic growth, driven by manufacturing, technology, and a thriving startup scene, the country has become a rising star in Southeast Asia. Its young, dynamic workforce and increasing foreign investments highlight Vietnam’s potential to become a global economic hub. Moreover, key sectors such as renewable energy, tourism, and digital transformation are expanding rapidly. The government’s focus on sustainable development and international trade agreements (like the CPTPP and EVFTA) also pave the way for long-term success. Vietnam’s journey toward prosperity isn’t just a dream—it’s a reality in the making!",
@ttran2212,"Have you heard a popular saying that ""Save the best for the last."" That's exactly what happening to vietnam and the southeast asia region in general.",@GoPro239
@cuongpham2222,it pretty impression,
@viethoangtruong54,"Lmao, butthurt channel that just can’t accept the fact that the communists actually did something right and decided to abandon the central planned economy to pursuing a market oriented one to save their country from sharing the same fate as the USSR. This type of blind hatred and echo chamber arrogant is the reason why the Chinese is prosperous while the US is questioning its own genders and invents new ones to  destroy their own culture and achievements.",
@子健甘,"i am a chinese,i think vietnam will be a rich vietnam",
@hoaithu2702,Chúng tôi ko cần quá giàu có mà chúng tôi thấy vui vẻ và hạnh phúc là thích hơn,@子健甘
@HNHanRyang,still poor,
@ucNguyen-dr2zg,có chính sách 1 child hả ? :v,
@Տung,"The only reason Vietnam is rising because of its cheap workforce, but once the wage for worker increases, the economy will slow down.",
@SenuraKumara-ii5rq,You are jealous,@Տung
@Տung,"@@SenuraKumara-ii5rq It doesn’t matter if you don’t believe me, both Japan and China was poor but because they’ve a cheap workforce, the economy increase rapidly until when the wages increase, the development slows down.",@Տung
@phucnhahuynh4477,"thats why the government comes in and focus on their country's strength. Hard to predict the future, only way to find out is see how it will turn out@@Տung",@Տung
@Տung,"Vietnam is becoming overrated, considering Vietnam’s corrupted governments, I don’t think so.",
@manhhmu11,"Đừng mang thể chế chính trị áp đặt sự lạc quan về kinh tế, một hay nhiều Đảng thì đều có thể đưa ra các chính sách đúng hoặc sai, vì thế đừng đánh đồng khái niệm ""đa đảng"" với ""phát triển"", ""nhân quyền"", ""tự do""...
Các nước nghèo nhất thế giới họ cũng có rất nhiều đảng phái, để các nước lớn thao túng vậy. đoạn sau của video rất sai lầm",
@TraMySumiNguyen-si1ut,Số cool country,
@silhouette157,"Here’s a translation of your explanation:
 
""In fact, the refugees at the beginning of the video were people from the Republic of Vietnam—a puppet regime of the U.S. These people cowardly fled their homeland when the country was impoverished, clinging to their meaningless ideals😌. Now, as the country has developed, they have returned, seeking benefits for themselves. True Vietnamese people are those who stayed, built, and developed the country.""🥰",
@DanH-u3f,Wealthier?  Yes.  Rich in GDP/capita?  No.  They are communists and will fall into the middle income trap just like China.,
@nguyenquangminh1150,no vietnam very poor,
@dresslerlanderholm,越南未来可期👍love from China,
@Thailand-l6y,COVID-19,@dresslerlanderholm
@thang5kn498,Cảm ơn bạn,@dresslerlanderholm
@minhducle1594,Thanks bro,@dresslerlanderholm
@zhou-i1q,"@@Thailand-l6y Em là một người chuyển giới, đừng sợ, em yêu, đừng sợ.",@dresslerlanderholm
@KoaNguyen12,"Cảm ơn bạn, lời chào từ Vietnam.",@dresslerlanderholm
@Kysuthechien3,"As long as there is communism, Vietnam will not be able to get rich.",
@nguyenhoangphuc856,"without rampand political corruption, yes",
@KP-xi4bj,"As long as communism is alive and kicking, all the wealth will belong to them.",
@AnhDao2412,"Bạn xem ở VN bao nhiêu tỉ phú và người giàu. Trong số những người giàu có đó, thì có bao nhiêu người là cộng sản???",@KP-xi4bj
@Vincehunting336,Rich? How? Just imagining lol,
@hahdanghongha7810,"We can build brick houses, roads and bridges, we can buil train lines, make cars, and will try to make planes also. 

We are hard working people

So, just imagine",@Vincehunting336
@Đờimitry,VN cant even provide and have the energy to  produce for it's own domestic consumption. Bad infrastructure and blackout everywhere so stop dreaming of producing and exporting to USA for declining dollars as the world is moving away from the USD and  dedollarizing.,
@AnhDao2412,"Đang ở Cali phọt hay đang ở trong giếng của TQ? Sao mà phát ngôn VN mất điện tràn lan, không đủ năng lượng cho SX.",@Đờimitry
@Đờimitry,@@AnhDao2412 backward id#ots just stick to your corrupted bubble realestate bs in VN and ride like a crazy monkey in ya scooters without any decent roads and traffic laws.,@Đờimitry
@Đờimitry,""" most of the world's richest counties are liberal democracy""? LoL most are drowning in debt and huge real estate bubble. USA even borrows mostly from China. The nations that got rich from the past and continues to be "" rich"" was mainly from colonialism and stealing natives lands. China and India have been top economies foe over 2000 years, the West only a small dot in the chart.",
@anhcoder,"Thanks friend over the world, we will keep going and happy to make friends with everyone.",
@toilajunevu,From Amẻican with love. As an Amẻrican I bet Vietnam will becomea a super rich country.,
@quangminhha9276,Cái này nghĩa là j v,@toilajunevu
@longdaytivi,"Talking about human rights violations and dictatorship is something we absolutely do not accept. As a Vietnamese citizen, I am honored to tell you this: in Vietnam, all of us are true Communists. According to official figures, our Party has 5.4 million official Communist Party members and 5.7 million Youth Union members (Communist Youth). In each family, there is at least one ‘Communist.’ Being admitted to the Party is an immense honor for every Vietnamese citizen. This country is led by Communists, which is completely obvious, because the country is led by the entire Vietnamese people, who select the most elite and outstanding individuals to be ‘cadres’ and higher ‘leaders.’ The leadership principle of the Communist Party is ‘collective leadership, individual responsibility.’ These ‘cadres’ are not powerful officials but remain ‘loyal servants of the people,’ as our great leader instructed, clearly demonstrating our democracy. Additionally, our Communist Party’s highest mission and goal is ‘Rich people, strong country, democracy, justice, and civilization,’ and we will do everything we can to achieve this noble and glorious mission. Sincerely and determined to win!",
@1703bk,No never. They are lazy as fuck,
@hanrianangga2608,@@1703bk dogeater,@1703bk
@OchreEmber-pf9ip,We should send the tankies there,
@thuychibts,"Improve living standards, market-oriented economy, changes have the potential to bring even more growth and improve the lives of millions. A lead the pack, with over 7 billion dollars, makinf up 18% of the total ... B followed closely in second place with nearly 6 billion, while C ranked third with 5 billion. VN is appeal because of its low labor costs and steady exchange rate.",
@GumA-do2ce,"How can a country that depends on fdi and develops with no core technology, bad education system, and all the wealth belongs to the government and the real estate companies become rich?",
@angkhoanguyen6114,@@GumA-do2ce Everything you said contradicts the truth.,@GumA-do2ce
@OchreEmber-pf9ip,@@angkhoanguyen6114 What is the truth?,@GumA-do2ce
@AnhDao2412,"1/ Của cải thuộc về Chính phủ??? Chừng đó cũng đủ bạn không biết gì về VN.
2/ Chính vì VN thiếu vôn và công nghệ cốt lõi nên cần thu hút nhiều vốn FDI và công nghệ tiên tiến để phát triển đất nước.",@GumA-do2ce
